"","SalePrice","LotFrontage","LotArea","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","GarageYrBlt","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","YrSold","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","MoSold","MSSubClass","MSZoning","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageCond","SaleType","SaleCondition","dummy_garage","dummy_masvnr","dummy_RemodYear"
"X1stFlrSF",0,0,0,0,0,0,0,0,0,0,0,0.725512600575939,0.725512600575945,0.368478208442378,0.0433109860650099,0.983451498059946,0.934483251109706,0.907139789847618,0.829125442210758,0.932611539951427,0.880574700376547,0.114536941553791,0.603841714494985,0.548991072855044,0.0545152006492852,0.48640526165714,0.8449892528972,0.156832412578221,0.520685158845893,0.588929550933513,0.535723636014009,0.604380293937353,0.729847098894798,0.0927806080066288,0.345843212206581,0.591024402333018,0.44943987715934,0.970949422699766,0.962871613175803,NA,0.801871542700339,0.716128290143451,0.75801050203613,0.767646416533639,0.225529200833166,NA,0.977098356340232,0.963125825918869,0.202654413903556,0.973899041912563,0.581499055379064,0.935629686658414,0.29353748989369,0.950272981577633,0.0542996807200719,0.343323938284262,0.517351380397978,NA,0.765118705969208,NA,0.844989252898158,0.978929059386088,0.578517125104784,0.451700714451675,0.969950004906972,0.858225430016331,NA,0.903550303436503,0.884871521638654,NA,NA,NA
"X2ndFlrSF",0,0,0,0,0,0,0,0,0,0,0,0,0.885142580234863,0.419568490581137,0.1320403394701,0.679328312004108,0.899732439879409,0.873156803066717,0.844526219962556,0.250134656411684,0.952819261854767,0.505769823417301,0.960933947187486,0.87620721884242,0.907635793617363,0.356760929102393,NA,0.0412311180932304,0.443148640597509,0.793903222186881,0.461176388718322,0.744221582684086,0.829020025560101,0.474759190952939,0.865066991450653,0.703918437864392,0.362359012681923,0.933859535196698,0.99292359838007,NA,0.842428195467358,0.539697867434018,0.951925999384596,0.764000986426618,0.992811811209028,NA,0.871081630218701,0.883267685771214,0.251607515666171,0.716212308199008,0.80669679384991,0.956053971561235,0.210886374128862,0.744914324754484,0.643405049764948,0.402812308972891,0.873977594110305,NA,0.496838736306422,NA,NA,0.931362445376106,NA,0.75437628550596,0.229151850444791,0.701373751859688,NA,0.815344895245334,0.75969051579343,NA,NA,NA
"GrLivArea",0,0,0,0,0,0,0,0,0,0,0,0,0,0.75344825386803,0.94590603141789,0.690975857108778,0.972039038204827,0.997495515338299,0.760695949539925,0.393744946074591,0.80804261701348,0.425273275217885,0.759106712886832,0.984109052472487,0.178589785976412,0.574350986898905,0.844989252898095,0.911254792675646,0.947808278318544,0.778749463807488,0.795346091140569,0.911227044330815,0.693620419275889,0.722265822744636,0.536824203008839,0.928342207917407,0.319934901310513,0.813841104242599,0.988614647883119,NA,0.81487163363638,0.952383837690575,0.776342110695114,0.730035018800835,0.204935948346632,NA,0.847507799107238,0.961740288222528,0.404092992354513,0.493171081560599,0.76423566135266,0.971011230886459,0.684524779854248,0.707647392650536,0.813227733711167,0.444448507135476,0.509609438319591,NA,0.440505610171999,NA,0.844989252897021,0.80090245869081,0.710016788889203,0.694447214570747,0.615137090807048,0.527862967406416,NA,0.756043555249837,0.91529978354446,NA,NA,NA
"GarageYrBlt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579591907337962,0.788800849869695,0.644377880238571,0.687866830842234,0.955373236336125,0.36767929807748,0.403154702213289,0.903672201398558,0.686849228437454,0.629132188606831,0.0788764131735877,0.239525591521158,0.844989252890147,0.189201096314965,0.939804530410819,0.376702450672234,0.467705376665774,0.811092479338529,0.971079142203992,0.649189488898658,0.398893186690441,0.889636987612559,0.44999229372424,0.980946234469201,0.817162881920993,NA,0.801683020698525,0.509699735328503,0.962700288135078,0.373688674127698,0.754913640225839,NA,0.714454439150446,0.860896427025599,0.102610136673589,0.798958925133464,0.953394765870586,0.328237232001218,0.459774008782152,0.830360906750613,0.627071954220979,0.349719572254364,0.734441670134075,NA,0.69427565417859,NA,0.844989252900821,0.717666955023425,0.725228788904652,0.653329754108653,0.981097958609112,0.801670696045575,NA,0.646063613039582,0.686020374659499,NA,NA,NA
"GarageArea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906707964156853,0.898445744139751,0.715327644545231,0.832704712177034,0.28025780592337,0.700955208634447,0.466107896347132,0.692777294696328,0.528499984237202,0.0605510587854691,0.344356719413031,0.844989252898937,0.881519454189223,0.793777050036263,0.204244785413383,0.17691444600087,0.362550821419597,0.824289547839176,0.35967910178624,0.315392499097208,0.748036016654452,0.310051583787719,0.989898896699738,0.941779678487175,NA,0.911477840542709,0.131906944949259,0.634906966613147,0.982758444048451,0.368563804933112,NA,0.723711550384284,0.798393451139461,0.874034722409249,0.747028597397229,0.685425011494896,0.895905022262643,0.0152528533993634,0.679017664217181,0.637582253098601,0.53019059923006,0.409551309505535,NA,0.761600083861883,NA,0.844989252898042,0.732099643047878,0.430644925674682,0.660883335072896,0.74956232204462,0.534259954940456,NA,0.6017540014944,0.448612379743001,NA,NA,NA
"WoodDeckSF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81774364893975,0.723068402243837,0.658123369313926,0.0918809619978405,0.0636832120350892,0.348413090753154,0.759914752908972,0.868288902082018,0.764954702177909,0.518253072012822,0.844989252897716,0.690895513591708,0.134843590882429,0.758831959145498,0.733248135740993,0.981907446288009,0.539102070769474,0.530609440830813,0.273093320555725,0.926681375870027,0.263779410606919,0.395798528110204,0.765120506458716,NA,0.832812146532699,0.922646071270025,0.396428492399445,0.505162837854566,0.783186496859052,NA,0.815520538890097,0.891644898472196,0.0172581447472639,0.742214255330434,0.969355111641382,0.495120738737372,0.458732281090599,0.983504422796663,0.0064940058648836,0.861120564790152,0.513976821433026,NA,0.115536655795082,NA,NA,0.158683035944276,0.291398296127453,0.654130646830618,0.670696117764639,0.00638883636109817,NA,0.421328929069538,0.52805206335478,NA,NA,NA
"OpenPorchSF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755586554557285,0.697206210273621,0.92889912387988,0.666199942536891,0.850174337210511,0.546277469843338,0.546385639489092,0.987842699912346,0.579282017448605,0.844989252897674,0.965318143597425,0.746630099890232,0.974102352822512,0.502823521302801,0.994474242227741,0.771531568461365,0.878932122914819,0.965550474731056,0.648482493025231,0.443213823794653,0.999308213875071,0.771452625771233,NA,0.922724598552539,0.989979421883512,0.502917354354486,0.614294445987469,0.979874982964102,NA,0.788954186590799,0.817811336306517,0.450129045578235,0.798331209188161,0.768572510399117,0.256148297797077,0.826416163113651,0.831608886228229,0.845177130724938,0.737129023224606,0.565906483506419,NA,0.614228155991327,NA,0.844989252897758,0.415712466105736,NA,0.841470537967111,0.598856359638611,0.702976537502857,NA,0.95517225604688,0.958821884425268,NA,NA,NA
"EnclosedPorch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.820732449386331,0.633340199255478,0.633340199255462,0.633340199255514,NA,0.633340199255581,NA,0.916874067539809,0.633340199255478,0.633340199255577,0.936248825173795,0.633340199255459,NA,0.723068402243787,NA,0.633340199255506,NA,0.830214400047569,0.723068402243831,NA,NA,0.633340199255502,0.916874067539989,0.633340199255526,NA,NA,0.723068402243831,0.723068402243831,NA,NA,0.633340199255486,0.916874067539909,0.633340199255506,NA,NA,0.830214400047608,NA,NA,0.723068402243848,NA,NA,0.916874067539889,NA,NA,NA,0.830214400047602,NA,NA,NA,NA,NA,NA
"X3SsnPorch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.811755566787909,0.895946081323195,0.895946081323163,0.976915637358843,0.781774423661148,0.844526219962588,NA,0.845549233167796,0.591717039103105,NA,0.709869181834756,0.844526219962619,NA,0.591717039103102,0.968069489024101,0.637172779198941,NA,0.958676627271223,0.90177420270382,NA,NA,0.844526219962598,0.936113445665003,0.431487486294949,0.567990270875341,NA,0.585708874092915,0.41108468794798,NA,0.844989252897726,0.72389887640206,0.745199229221348,0.821698860518072,NA,0.927751441287109,0.989795080519272,0.844989252897779,NA,0.844989252897779,NA,0.844989252897779,0.844989252897726,NA,0.591717039103105,0.980445634092532,0.416656316319783,NA,0.963662634599782,0.976184594867769,NA,NA,NA
"ScreenPorch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090003350886478,0.733139285705409,0.606501563396758,0.0462141461265934,0.386090852399753,0.526755152631742,NA,0.847961410286803,0.243884950465137,0.482979374802108,0.765951841249701,0.669689520612034,0.42731030062952,0.00807933170298382,0.778305374210531,0.948105138644952,0.684780620208023,0.349203002986784,0.968285781616176,NA,0.803895064156796,0.628158842668356,0.158277982963381,0.463370145205555,0.388720156988493,NA,0.864949613380777,0.864949613380777,0.615321298271465,0.78723121160361,NA,0.346315458324907,0.318476863962645,0.844989252897695,0.184700220254304,0.132004299972264,NA,NA,0.149733365231372,NA,0.844989252897726,0.711043407381974,NA,0.441936071341673,0.0554785197203906,0.354803022084439,NA,0.34093454750265,0.648908148735668,NA,NA,NA
